Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
19.12.2024 10:10,"2,59",0,"0,6"
19.12.2024 10:15,"2,63",0,"0,6"
19.12.2024 10:20,"2,82",0,"0,6"
19.12.2024 10:25,"2,94",0,"0,6"
19.12.2024 10:30,"3,02",0,"0,6"
19.12.2024 10:35,"4,34",0,"0,6"
19.12.2024 10:40,"4,75",0,"0,6"
19.12.2024 10:45,"5,21",0,"0,59"
19.12.2024 10:50,"5,19",0,"0,6"
19.12.2024 10:55,"4,04",0,"0,6"
19.12.2024 11:00,"3,55",0,"0,6"
19.12.2024 11:05,"3,24",0,"0,6"
19.12.2024 11:10,"3,07",0,"0,6"
19.12.2024 11:15,"2,69",0,"0,6"
19.12.2024 11:20,"2,54",0,"0,6"
19.12.2024 11:25,"2,26",0,"0,59"
19.12.2024 11:30,"2,04",0,"0,6"
19.12.2024 11:35,"1,9",0,"0,59"
19.12.2024 11:40,"1,87",0,"0,59"
19.12.2024 11:45,"1,82",0,"0,59"
19.12.2024 11:50,"1,94",0,"0,59"
19.12.2024 11:55,"1,92",0,"0,61"
19.12.2024 12:00,"2,48",0,"0,6"
19.12.2024 12:05,"4,15",0,"0,61"
19.12.2024 12:10,"4,25",0,"0,61"
19.12.2024 12:15,"4,73",0,"0,6"
19.12.2024 12:20,"5,09",0,"0,6"
19.12.2024 12:25,"4,18",0,"0,6"
19.12.2024 12:30,"3,14",0,"0,6"
19.12.2024 12:35,"2,38",0,"0,6"
19.12.2024 12:40,"2,12",0,"0,61"
19.12.2024 12:45,"1,73",0,"0,6"
19.12.2024 12:50,"1,49",0,"0,6"
19.12.2024 12:55,"1,34",0,"0,6"
19.12.2024 13:00,"1,35",0,"0,6"
19.12.2024 13:05,"1,56",0,"0,61"
19.12.2024 13:10,"1,65",0,"0,6"
19.12.2024 13:15,"1,91",0,"0,6"
19.12.2024 13:20,"2,18",0,"0,6"
19.12.2024 13:25,"2,17",0,"0,6"
19.12.2024 13:30,"2,27",0,"0,6"
19.12.2024 13:35,"2,35",0,"0,6"
19.12.2024 13:40,"2,35",0,"0,61"
19.12.2024 13:45,"4,23",0,"0,61"
19.12.2024 13:50,"4,56",0,"0,6"
19.12.2024 13:55,"5,02",0,"0,61"
19.12.2024 14:00,"4,99",0,"0,6"
19.12.2024 14:05,"3,29",0,"0,6"
19.12.2024 14:10,"2,88",0,"0,6"
19.12.2024 14:15,"2,5",0,"0,61"
19.12.2024 14:20,"2,14",0,"0,59"
19.12.2024 14:25,"2,07",0,"0,6"
